# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside
# it. CSO states NO definition for any topic, so this is matched against declared names like
# OLiA and FIBO and cannot be read as a functional taxonomy — there is no prose to compare a
# scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 4747 of its 11426 topics with a parent are stated beneath more
# than one, up to 13. Every parent is carried, joined with the separator SkosConcept states
# for a repeated property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Name: Computer Science Ontology 3.5
# Publisher: the Knowledge Media Institute, The Open University (https://cso.kmi.open.ac.uk/)
# Kind: terms
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv) (the download states
#   no revision, so the archive is the citation, pinned by the SHA-256 ContentDigest states
#   over CSO.3.5.csv: 1fa427ecb26a92d6077a54b5da41833e3eea6a194567091e336e8425f4cc11d4).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science
#   Ontology, Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms
#   were supplied by the maintainer of this repository rather than read from the archive.
# Generated by CsoTopicsExtraction: 11438 topics.
access_control_policies	access control policies	access control mechanism | access control models | access control policies | access control policy	access control | security systems	topic			
access_control_schemes	access control schemes		access control | security systems	topic			
access_network	access network	access network | access networks	broadband networks | fiber optic networks | local area networks | network architecture | wireless networks	topic			
access_permissions	access permissions		access control policies	topic			
access_points	access points	access point | access points	wireless local area networks (wlan) | wireless networks	topic			
access_policies	access policies		access control policies	topic			
access_rights	access rights		access control | security systems	topic			
access_routers	access routers		handover | mobile ip | mobile nodes	topic			
access_technology	access technology		access network | wimax	topic			
access_time	access time		static random access storage	topic			
accessibility_evaluation	accessibility evaluation		web accessibility	topic			
accuracy_assessment	accuracy assessment		numerical model	topic			
accuracy_functions	accuracy functions		illustrative examples	topic			
accurate_registration	accurate registration		image registration	topic			
achievability	achievability		capacity regions | interference channels	topic			
achievable_rate	achievable rate		channel state information | gaussians | numerical results	topic			
achievable_rate_region	achievable rate region		capacity regions | gaussians | interference channels	topic			
achievable_region	achievable region		capacity regions	topic			
acidobacteria	acidobacteria		betaproteobacteria	topic			
acidobacterium	acidobacterium		acidobacteria	topic			
acme	acme		architecture description languages	topic			
acmestudio	acmestudio		architecture description languages	topic			
aco_algorithms	aco algorithms		ant systems	topic			
acoustic_arrays	acoustic arrays		acoustic noise | acoustic signal processing | microphones	topic			
acoustic_channels	acoustic channels		underwater acoustic communications	topic			
acoustic_communications	acoustic communications		submersibles | underwater acoustic communications | underwater sensor networks	topic			
acoustic_devices	acoustic devices		acoustics | underwater acoustics	topic			
acoustic_doppler_current_profiler	acoustic doppler current profiler		ocean currents	topic			
acoustic_echo_cancellation	acoustic echo cancellation		acoustic signal processing | acoustics | echo suppression	topic			
acoustic_echoes	acoustic echoes		acoustic echo cancellation	topic			
acoustic_emission_signal	acoustic emission signal	acoustic emission signal | ae signals	acoustic emissions	topic			
acoustic_emissions	acoustic emissions	acoustic emission | acoustic emissions	acoustics	topic			
acoustic_environment	acoustic environment		acoustic noise | acoustics | audio acoustics | reverberation | speech enhancement	topic			
acoustic_equipment	acoustic equipment		acoustic devices	topic			
acoustic_features	acoustic features		audio acoustics | hidden markov model (hmm) | hidden markov models | speech communication	topic			
acoustic_generators	acoustic generators		microphones	topic			
acoustic_holography	acoustic holography		acoustic imaging	topic			
acoustic_imaging	acoustic imaging		acoustics | imaging systems | sonar | ultrasonic imaging | underwater acoustics	topic			
acoustic_intensity	acoustic intensity		fading (radio) | fading channels	topic			
acoustic_model	acoustic model	acoustic model | acoustic modeling | acoustic modelling | acoustic models	acoustics | speech recognition	topic			
acoustic_noise	acoustic noise		signal to noise ratio | speech recognition	topic			
acoustic_noise_measurement	acoustic noise measurement		acoustic noise | acoustics | noise reduction	topic			
acoustic_radiation_force	acoustic radiation force		acoustic radiators	topic			
acoustic_radiators	acoustic radiators		acoustic wave transmission | internet protocols	topic			
acoustic_resonators	acoustic resonators		acoustic surface wave devices	topic			
acoustic_scattering	acoustic scattering		acoustic wave scattering	topic			
acoustic_sensors	acoustic sensors		acoustic devices | sensor networks	topic			
acoustic_signal_processing	acoustic signal processing		speech recognition	topic			
acoustic_signals	acoustic signals	acoustic signal | acoustic signals	acoustic signal processing | acoustic waves	topic			
acoustic_source_localization	acoustic source localization		acoustic noise measurement | microphone arrays	topic			
acoustic_sources	acoustic sources		acoustic noise measurement | microphone arrays	topic			
acoustic_streaming	acoustic streaming		videotex	topic			
