# The IANA media type registry: every registered type, carried byte for byte as the registry
# states it. A string literal equal to a row's identifier is the publisher's own identifier
# written into a repository, which is a citation no English word can make; nothing here is an
# English label, so this is never matched against a declared name and never placed as prose.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# concept and prefLabel are the registered template, byte for byte. broader and module name the
# registry the type is filed under. definition is empty for every row because the registry
# publishes none. note carries the registry's reference, and its own deprecation statement where
# it makes one — a deprecated identifier is still the registry's identifier, so the row stays.
#
# Source: IANA media types, https://www.iana.org/assignments/media-types/ (application.csv, audio.csv, font.csv, haptics.csv, image.csv, message.csv, model.csv, multipart.csv, text.csv, video.csv), retrieved 2026-08-19
#   (the registry states no revision, so the file set is the citation, pinned by the SHA-256
#   ContentDigest states over the ten CSVs: fd3eea02e8610628e4a3b6eb0b66a415fdbf973ce1e73e667be24b12cd505aeb).
# Licence: CC0 1.0 (https://www.iana.org/help/licensing-terms — "IANA and IETF intend that
#   the Protocol Registries may be freely used by any party for any purpose", with both
#   organisations' rights "subject to the Creative Commons CC0 1.0 dedication").
# Generated by MediaTypeExtraction: 2344 media types.
application/cloudevents+json	application/cloudevents+json		application	media-type	application		[Linux_Foundation][CloudEvents_Maintainers]
application/cloudevents-batch+json	application/cloudevents-batch+json		application	media-type	application		[Linux_Foundation][CloudEvents_Maintainers]
application/clr	application/clr		application	media-type	application		[IMS_Global][Andy_Miller]
application/clue+xml	application/clue+xml		application	media-type	application		[RFC8847]
application/clue_info+xml	application/clue_info+xml		application	media-type	application		[RFC8846]
application/cmcd	application/cmcd		application	media-type	application		[CTA][Alexandra_Blasgen]
application/cms	application/cms		application	media-type	application		[RFC7193]
application/cmw+cbor	application/cmw+cbor		application	media-type	application		[RFC9999, Sections 3.1, 3.2, 3.3]
application/cmw+cose	application/cmw+cose		application	media-type	application		[RFC9999, Section 4.1]
application/cmw+json	application/cmw+json		application	media-type	application		[RFC9999, Sections 3.1, 3.2]
application/cmw+jws	application/cmw+jws		application	media-type	application		[RFC9999, Section 4.2]
application/cnrp+xml	application/cnrp+xml		application	media-type	application		[RFC3367]
application/coap-eap	application/coap-eap		application	media-type	application		[RFC9820]
application/coap-group+json	application/coap-group+json		application	media-type	application		[RFC7390]
application/coap-payload	application/coap-payload		application	media-type	application		[RFC8075]
application/commonground	application/commonground		application	media-type	application		[David_Glazer]
application/concise-problem-details+cbor	application/concise-problem-details+cbor		application	media-type	application		[RFC9290, Section 6.3]
application/conference-info+xml	application/conference-info+xml		application	media-type	application		[RFC4575]
application/cose	application/cose		application	media-type	application		[RFC9052]
application/cose-c509+cbor	application/cose-c509+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-c509-cert+cbor	application/cose-c509-cert+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-c509-crtemplate+cbor	application/cose-c509-crtemplate+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-c509-pem+cbor	application/cose-c509-pem+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-c509-pkcs10+cbor	application/cose-c509-pkcs10+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-c509-privkey+cbor	application/cose-c509-privkey+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-certhash+cbor	application/cose-certhash+cbor		application	media-type	application		[RFC-ietf-cose-cbor-encoded-cert-20]
application/cose-key	application/cose-key		application	media-type	application		[RFC9052]
application/cose-key-set	application/cose-key-set		application	media-type	application		[RFC9052]
application/cose-x509	application/cose-x509		application	media-type	application		[RFC9360]
application/cpl+xml	application/cpl+xml		application	media-type	application		[RFC3880]
application/csrattrs	application/csrattrs		application	media-type	application		[RFC7030]
application/csta+xml	application/csta+xml		application	media-type	application		[Ecma_International_Helpdesk]
application/csvm+json	application/csvm+json		application	media-type	application		[W3C][Ivan_Herman]
application/cwl	application/cwl		application	media-type	application		[CWL_Project][Michael_R._Crusoe]
application/cwl+json	application/cwl+json		application	media-type	application		[CWL_Project][Michael_R._Crusoe]
application/cwl+yaml	application/cwl+yaml		application	media-type	application		[CWL_Project][Michael_R._Crusoe]
application/cwt	application/cwt		application	media-type	application		[RFC8392]
application/cybercash	application/cybercash		application	media-type	application		[Donald_E._Eastlake_3rd]
application/dash+xml	application/dash+xml		application	media-type	application		[ISO-IEC_JTC_1][Thomas_Stockhammer]
application/dash-patch+xml	application/dash-patch+xml		application	media-type	application		[ISO-IEC_JTC_1]
application/dashdelta	application/dashdelta		application	media-type	application		[David_Furbeck]
application/davmount+xml	application/davmount+xml		application	media-type	application		[RFC4709]
application/dca-rft	application/dca-rft		application	media-type	application		[Larry_Campbell]
application/dec-dx	application/dec-dx		application	media-type	application		[Larry_Campbell]
application/dialog-info+xml	application/dialog-info+xml		application	media-type	application		[RFC4235]
application/dicom	application/dicom		application	media-type	application		[RFC3240]
application/dicom+json	application/dicom+json		application	media-type	application		[DICOM_Standard_Committee][David_Clunie]
application/dicom+xml	application/dicom+xml		application	media-type	application		[DICOM_Standard_Committee][David_Clunie]
application/did	application/did		application	media-type	application		[W3C_DID_WG]
application/dns	application/dns		application	media-type	application		[RFC4027]
application/dns+json	application/dns+json		application	media-type	application		[RFC8427]
application/dns-message	application/dns-message		application	media-type	application		[RFC8484]
application/dots+cbor	application/dots+cbor		application	media-type	application		[RFC9132]
application/dpop+jwt	application/dpop+jwt		application	media-type	application		[RFC9449]
application/dskpp+xml	application/dskpp+xml		application	media-type	application		[RFC6063]
application/dssc+der	application/dssc+der		application	media-type	application		[RFC5698]
application/dssc+xml	application/dssc+xml		application	media-type	application		[RFC5698]
application/dvcs	application/dvcs		application	media-type	application		[RFC3029]
application/eat+cwt	application/eat+cwt		application	media-type	application		[RFC9782]
application/eat+jwt	application/eat+jwt		application	media-type	application		[RFC9782]
application/eat-bun+cbor	application/eat-bun+cbor		application	media-type	application		[RFC9782]
application/eat-bun+json	application/eat-bun+json		application	media-type	application		[RFC9782]
application/eat-ucs+cbor	application/eat-ucs+cbor		application	media-type	application		[RFC9782]
application/eat-ucs+json	application/eat-ucs+json		application	media-type	application		[RFC9782]
application/ecmascript	application/ecmascript		application	media-type	application		ecmascript (OBSOLETED in favor of text/javascript) | [RFC4329][RFC9239]
application/edhoc+cbor-seq	application/edhoc+cbor-seq		application	media-type	application		[RFC9528]
application/efi	application/efi		application	media-type	application		[UEFI_Forum][Samer_El-Haj-Mahmoud]
application/elm+json	application/elm+json		application	media-type	application		[HL7][Bryn_Rhodes]
application/elm+xml	application/elm+xml		application	media-type	application		[HL7][Bryn_Rhodes]
application/emma+xml	application/emma+xml		application	media-type	application		[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC_JTC_1]
application/emotionml+xml	application/emotionml+xml		application	media-type	application		[W3C][Kazuyuki_Ashimura]
application/encaprtp	application/encaprtp		application	media-type	application		[RFC6849]
application/entity-statement+jwt	application/entity-statement+jwt		application	media-type	application		[OpenID_Foundation_Artifact_Binding_WG]
application/epp+xml	application/epp+xml		application	media-type	application		[RFC5730]
application/epub+zip	application/epub+zip		application	media-type	application		[W3C][EPUB_3_WG]
application/eshop	application/eshop		application	media-type	application		[Steve_Katz]
application/example	application/example		application	media-type	application		[RFC4735]
application/exi	application/exi		application	media-type	application		[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration]
application/expect-ct-report+json	application/expect-ct-report+json		application	media-type	application		[RFC9163]
application/explicit-registration-response+jwt	application/explicit-registration-response+jwt		application	media-type	application		[OpenID_Foundation_Artifact_Binding_WG][Michael_B_Jones]
application/express	application/express		application	media-type	application		[ISO-TC_184-SC_4][Dana_Tripp]
application/fastinfoset	application/fastinfoset		application	media-type	application		[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC_1_SC_6_ASN.1_Rapporteur]
application/fastsoap	application/fastsoap		application	media-type	application		[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC_1_SC_6_ASN.1_Rapporteur]
application/fdf	application/fdf		application	media-type	application		[ISO-TC_171-SC_2][Betsy_Fanning]
application/fdt+xml	application/fdt+xml		application	media-type	application		[RFC6726]
application/fhir+json	application/fhir+json		application	media-type	application		[HL7][Grahame_Grieve]
application/fhir+xml	application/fhir+xml		application	media-type	application		[HL7][Grahame_Grieve]
application/fits	application/fits		application	media-type	application		[RFC4047]
application/flexfec	application/flexfec		application	media-type	application		[RFC8627]
application/font-sfnt	application/font-sfnt		application	media-type	application		font-sfnt - DEPRECATED in favor of font/sfnt | [Levantovsky][ISO-IEC_JTC_1][RFC8081]
application/font-tdpfr	application/font-tdpfr		application	media-type	application		[RFC3073]
application/font-woff	application/font-woff		application	media-type	application		font-woff - DEPRECATED in favor of font/woff | [W3C][RFC8081]
application/framework-attributes+xml	application/framework-attributes+xml		application	media-type	application		[RFC6230]
application/geo+json	application/geo+json		application	media-type	application		[RFC7946]
application/geo+json-seq	application/geo+json-seq		application	media-type	application		[RFC8142]
application/geofeed+csv	application/geofeed+csv		application	media-type	application		[RFC9877]
