# The NIST Cybersecurity Framework 2.0 as a functional taxonomy: six functions, the
# categories under each of them and the subcategories under those, with the outcome NIST
# states each one as. This is not a vocabulary to match against identifiers — nobody writes
# GV.OC-01, and nobody writes Organizational Context either. It is a published partition of
# what a security function does, and the sentence defining each part is what a body of code
# can be compared against as a distribution rather than searched for as a term.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is empty for a function, the framework's own top level; module is the function a
# concept rolls up to; altLabel is the label NIST publishes beside a title wherever it
# publishes a different one, and empty where it publishes none. Concepts NIST states as
# withdrawn are not carried, which is what leaves 1.1's categories out.
#
# Source: NIST_CSF_v2.0_catalog.json at version 1.2.0, the OSCAL edition
#   NIST publishes of the Cybersecurity Framework 2.0, read from
#   https://raw.githubusercontent.com/usnistgov/oscal-content/78650f02ad9321bb7b817846f8fbd4f2bcd620de/nist.gov/CSF/v2.0/json/NIST_CSF_v2.0_catalog.json.
# Licence: public domain. The catalogue is a work of the United States government, and NIST
#   additionally waives copyright and related rights worldwide through CC0 1.0
#   (https://github.com/usnistgov/oscal-content/blob/main/LICENSE.md). The framework's own
#   words are quoted as NIST publishes them, and NIST states no endorsement of any use.
# Generated by NistCsfExtraction: 134 concepts.
GV.SC-03	GV.SC-03		GV.SC	subcategory	GV	Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes	
GV.SC-04	GV.SC-04		GV.SC	subcategory	GV	Suppliers are known and prioritized by criticality	
GV.SC-05	GV.SC-05		GV.SC	subcategory	GV	Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties	
GV.SC-06	GV.SC-06		GV.SC	subcategory	GV	Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships	
GV.SC-07	GV.SC-07		GV.SC	subcategory	GV	The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship	
GV.SC-08	GV.SC-08		GV.SC	subcategory	GV	Relevant suppliers and other third parties are included in incident planning, response, and recovery activities	
GV.SC-09	GV.SC-09		GV.SC	subcategory	GV	Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle	
GV.SC-10	GV.SC-10		GV.SC	subcategory	GV	Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement	
ID	IDENTIFY	IDENTIFY (ID)		function	ID	The organization's current cybersecurity risks are understood	
ID.AM	Asset Management	Asset Management (ID.AM)	ID	category	ID	Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy	
ID.AM-01	ID.AM-01		ID.AM	subcategory	ID	Inventories of hardware managed by the organization are maintained	
ID.AM-02	ID.AM-02		ID.AM	subcategory	ID	Inventories of software, services, and systems managed by the organization are maintained	
ID.AM-03	ID.AM-03		ID.AM	subcategory	ID	Representations of the organization's authorized network communication and internal and external network data flows are maintained	
ID.AM-04	ID.AM-04		ID.AM	subcategory	ID	Inventories of services provided by suppliers are maintained	
ID.AM-05	ID.AM-05		ID.AM	subcategory	ID	Assets are prioritized based on classification, criticality, resources, and impact on the mission	
ID.AM-07	ID.AM-07		ID.AM	subcategory	ID	Inventories of data and corresponding metadata for designated data types are maintained	
ID.AM-08	ID.AM-08		ID.AM	subcategory	ID	Systems, hardware, software, services, and data are managed throughout their life cycles	
ID.IM	Improvement	Improvement (ID.IM)	ID	category	ID	Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions	
ID.IM-01	ID.IM-01		ID.IM	subcategory	ID	Improvements are identified from evaluations	
ID.IM-02	ID.IM-02		ID.IM	subcategory	ID	Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties	
ID.IM-03	ID.IM-03		ID.IM	subcategory	ID	Improvements are identified from execution of operational processes, procedures, and activities	
ID.IM-04	ID.IM-04		ID.IM	subcategory	ID	Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved	
ID.RA	Risk Assessment	Risk Assessment (ID.RA)	ID	category	ID	The cybersecurity risk to the organization, assets, and individuals is understood by the organization	
ID.RA-01	ID.RA-01		ID.RA	subcategory	ID	Vulnerabilities in assets are identified, validated, and recorded	
ID.RA-02	ID.RA-02		ID.RA	subcategory	ID	Cyber threat intelligence is received from information sharing forums and sources	
ID.RA-03	ID.RA-03		ID.RA	subcategory	ID	Internal and external threats to the organization are identified and recorded	
ID.RA-04	ID.RA-04		ID.RA	subcategory	ID	Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded	
ID.RA-05	ID.RA-05		ID.RA	subcategory	ID	Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization	
ID.RA-06	ID.RA-06		ID.RA	subcategory	ID	Risk responses are chosen, prioritized, planned, tracked, and communicated	
ID.RA-07	ID.RA-07		ID.RA	subcategory	ID	Changes and exceptions are managed, assessed for risk impact, recorded, and tracked	
ID.RA-08	ID.RA-08		ID.RA	subcategory	ID	Processes for receiving, analyzing, and responding to vulnerability disclosures are established	
ID.RA-09	ID.RA-09		ID.RA	subcategory	ID	The authenticity and integrity of hardware and software are assessed prior to acquisition and use	
ID.RA-10	ID.RA-10		ID.RA	subcategory	ID	Critical suppliers are assessed prior to acquisition	
PR	PROTECT	PROTECT (PR)		function	PR	Safeguards to manage the organization's cybersecurity risks are used	
PR.AA	Identity Management, Authentication, and Access Control	Identity Management, Authentication, and Access Control (PR.AA)	PR	category	PR	Access to physical and logical assets is limited to authorized users, services, and hardware and managed commensurate with the assessed risk of unauthorized access	
PR.AA-01	PR.AA-01		PR.AA	subcategory	PR	Identities and credentials for authorized users, services, and hardware are managed by the organization	
PR.AA-02	PR.AA-02		PR.AA	subcategory	PR	Identities are proofed and bound to credentials based on the context of interactions	
PR.AA-03	PR.AA-03		PR.AA	subcategory	PR	Users, services, and hardware are authenticated	
PR.AA-04	PR.AA-04		PR.AA	subcategory	PR	Identity assertions are protected, conveyed, and verified	
PR.AA-05	PR.AA-05		PR.AA	subcategory	PR	Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties	
PR.AA-06	PR.AA-06		PR.AA	subcategory	PR	Physical access to assets is managed, monitored, and enforced commensurate with risk	
PR.AT	Awareness and Training	Awareness and Training (PR.AT)	PR	category	PR	The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks	
PR.AT-01	PR.AT-01		PR.AT	subcategory	PR	Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind	
PR.AT-02	PR.AT-02		PR.AT	subcategory	PR	Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind	
PR.DS	Data Security	Data Security (PR.DS)	PR	category	PR	Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information	
PR.DS-01	PR.DS-01		PR.DS	subcategory	PR	The confidentiality, integrity, and availability of data-at-rest are protected	
PR.DS-02	PR.DS-02		PR.DS	subcategory	PR	The confidentiality, integrity, and availability of data-in-transit are protected	
PR.DS-10	PR.DS-10		PR.DS	subcategory	PR	The confidentiality, integrity, and availability of data-in-use are protected	
PR.DS-11	PR.DS-11		PR.DS	subcategory	PR	Backups of data are created, protected, maintained, and tested	
PR.IR	Technology Infrastructure Resilience	Technology Infrastructure Resilience (PR.IR)	PR	category	PR	Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience	
PR.IR-01	PR.IR-01		PR.IR	subcategory	PR	Networks and environments are protected from unauthorized logical access and usage	
PR.IR-02	PR.IR-02		PR.IR	subcategory	PR	The organization's technology assets are protected from environmental threats	
PR.IR-03	PR.IR-03		PR.IR	subcategory	PR	Mechanisms are implemented to achieve resilience requirements in normal and adverse situations	
PR.IR-04	PR.IR-04		PR.IR	subcategory	PR	Adequate resource capacity to ensure availability is maintained	
PR.PS	Platform Security	Platform Security (PR.PS)	PR	category	PR	The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability	
PR.PS-01	PR.PS-01		PR.PS	subcategory	PR	Configuration management practices are established and applied	
PR.PS-02	PR.PS-02		PR.PS	subcategory	PR	Software is maintained, replaced, and removed commensurate with risk	
PR.PS-03	PR.PS-03		PR.PS	subcategory	PR	Hardware is maintained, replaced, and removed commensurate with risk	
PR.PS-04	PR.PS-04		PR.PS	subcategory	PR	Log records are generated and made available for continuous monitoring	
PR.PS-05	PR.PS-05		PR.PS	subcategory	PR	Installation and execution of unauthorized software are prevented	
PR.PS-06	PR.PS-06		PR.PS	subcategory	PR	Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle	
RC	RECOVER	RECOVER (RC)		function	RC	Assets and operations affected by a cybersecurity incident are restored	
RC.CO	Incident Recovery Communication	Incident Recovery Communication (RC.CO)	RC	category	RC	Restoration activities are coordinated with internal and external parties	
RC.CO-03	RC.CO-03		RC.CO	subcategory	RC	Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders	
RC.CO-04	RC.CO-04		RC.CO	subcategory	RC	Public updates on incident recovery are shared using approved methods and messaging	
RC.RP	Incident Recovery Plan Execution	Incident Recovery Plan Execution (RC.RP)	RC	category	RC	Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents	
RC.RP-01	RC.RP-01		RC.RP	subcategory	RC	The recovery portion of the incident response plan is executed once initiated from the incident response process	
RC.RP-02	RC.RP-02		RC.RP	subcategory	RC	Recovery actions are selected, scoped, prioritized, and performed	
RC.RP-03	RC.RP-03		RC.RP	subcategory	RC	The integrity of backups and other restoration assets is verified before using them for restoration	
RC.RP-04	RC.RP-04		RC.RP	subcategory	RC	Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms	
RC.RP-05	RC.RP-05		RC.RP	subcategory	RC	The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed	
RC.RP-06	RC.RP-06		RC.RP	subcategory	RC	The end of incident recovery is declared based on criteria, and incident-related documentation is completed	
