# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
Abal	LATIN	family	15
Abalain	LATIN	family	5
Abalde	LATIN	family	7
Abali	LATIN	family	9
Aballí	LATIN	family	5
Abalo	LATIN	family	14
Abalos	LATIN	family	11
Abalı	LATIN	family	9
Aban	LATIN	given	17
Abang	LATIN	family	5
Abanto	LATIN	family	10
Abarbanel	LATIN	family	5
Abarbanell	LATIN	family	14
Abarca	LATIN	family	49
Abarca de Bolea	LATIN	family	6
Abaroa	LATIN	family	5
Abarzúa	LATIN	family	5
Abas	LATIN	family	5
Abas	LATIN	given	9
Abascal	LATIN	family	29
Abaschew	LATIN	family	12
Abaschidse	LATIN	family	98
Abashev	LATIN	family	12
Abashidze	LATIN	family	98
Abasi	LATIN	given	5
Abasjidze	LATIN	family	98
Abasolo	LATIN	family	9
Abass	LATIN	family	10
Abass	LATIN	given	21
Abassi	LATIN	family	10
Abaszydze	LATIN	family	98
Abat	LATIN	family	7
Abatangelo	LATIN	family	7
Abate	LATIN	family	112
Abatemarco	LATIN	family	5
Abati	LATIN	family	26
Abaunza	LATIN	family	7
Abay	LATIN	family	16
Abaya	LATIN	family	9
Abayev	LATIN	family	26
Abayomi	LATIN	given	10
Abazar	LATIN	given	48
Abazi	LATIN	family	46
Abazové	LATIN	family	22
Abaŝidze	LATIN	family	98
Abaşidze	LATIN	family	98
Abašev	LATIN	family	12
Abašidze	LATIN	family	98
Abba	LATIN	family	37
Abba	LATIN	given	55
Abbad	LATIN	given	11
Abbadessa	LATIN	family	12
Abbadie	LATIN	family	16
Abbado	LATIN	family	9
Abbagnale	LATIN	family	5
Abbakar	LATIN	given	103
Abbamonte	LATIN	family	7
Abbas	LATIN	family	127
Abbas	LATIN	given	456
Abbasi	LATIN	family	82
Abbasov	LATIN	family	55
Abbasova	LATIN	family	6
Abbasow	LATIN	family	55
Abbasoğlu	LATIN	family	8
Abbass	LATIN	family	9
Abbassi	LATIN	family	11
Abbaszadeh	LATIN	family	7
Abbate	LATIN	family	74
Abbati	LATIN	family	21
Abbatiello	LATIN	family	7
Abbatt	LATIN	family	7
Abbattista	LATIN	family	6
Abbatucci	LATIN	family	10
Abbe	LATIN	family	33
Abbe	LATIN	given	15
Abbeloos	LATIN	family	5
Abberbury	LATIN	family	8
Abberley	LATIN	family	5
Abberton	LATIN	family	6
Abbes	LATIN	family	7
Abbes	LATIN	given	7
Abbett	LATIN	family	7
Abbey	LATIN	family	81
Abbey	LATIN	given	84
Abbi	LATIN	given	17
Abbiati	LATIN	family	19
Abbie	LATIN	given	123
Abbing	LATIN	family	10
Abbink	LATIN	family	16
Abbiss	LATIN	family	5
Abbo	LATIN	family	14
Abbod	LATIN	given	11
Abbon	LATIN	given	5
Abbondanza	LATIN	family	18
Abbondio	LATIN	given	17
Abbontiu	LATIN	given	17
Abbos	LATIN	given	456
Abbosova	LATIN	family	6
Abbot	LATIN	family	159
Abbott	LATIN	family	1037
Abbott	LATIN	given	47
Abbottsmith	LATIN	family	15
Abbou	LATIN	family	15
Abboud	LATIN	family	24
Abbrescia	LATIN	family	7
Abbruzzese	LATIN	family	15
Abbs	LATIN	family	7
Abbt	LATIN	family	9
Abby	LATIN	given	397
Abbà	LATIN	family	7
Abbás	LATIN	given	456
Abbès	LATIN	given	6
Abbé	LATIN	family	6
Abbé	LATIN	given	5
Abbühl	LATIN	family	5
Abd	LATIN	family	7
Abd Al Mušin	LATIN	given	46
Abd al-Azim	LATIN	given	20
Abd al-Aziz	LATIN	given	315
Abd al-Hafiz	LATIN	given	26
Abd al-Hakim	LATIN	given	28
Abd al-Hamid	LATIN	given	185
Abd al-Haqq	LATIN	given	57
Abd al-Hussein	LATIN	given	31
Abd al-Kadir	LATIN	given	233
Abd al-Karím	LATIN	given	200
Abd al-Karīm	LATIN	given	200
Abd al-Malik	LATIN	given	101
Abd al-Masih	LATIN	given	7
Abd al-Muhsin	LATIN	given	46
Abd al-Qadir	LATIN	given	233
Abd al-Ra'uf	LATIN	given	20
Abd al-Rahim	LATIN	given	120
Abd al-Rahman	LATIN	given	762
Abd al-Razzaq	LATIN	given	5
Abd al-Salam	LATIN	given	123
Abd ar-Rahim	LATIN	given	120
Abd ar-Rahman	LATIN	given	762
Abd ar-Rahmán	LATIN	given	762
Abd el-Káder	LATIN	given	194
Abd el-Malik	LATIN	given	101
Abd ul-Latif	LATIN	given	217
Abd ül-Mecid	LATIN	given	132
Abd-Al·lah	LATIN	given	2059
Abd-aix-Xakur	LATIN	given	5
Abd-al-Alim	LATIN	given	6
Abd-al-Aziz	LATIN	given	315
Abd-al-Bari	LATIN	given	19
Abd-al-Bàssit	LATIN	given	29
Abd-al-Ghaní	LATIN	given	69
Abd-al-Hadi	LATIN	given	41
Abd-al-Hakim	LATIN	given	28
Abd-al-Halim	LATIN	given	46
Abd-al-Hamid	LATIN	given	185
Abd-al-Haqq	LATIN	given	57
Abd-al-Hayy	LATIN	given	22
Abd-al-Karim	LATIN	given	200
Abd-al-Khàliq	LATIN	given	32
Abd-al-Latif	LATIN	given	217
Abd-al-Majid	LATIN	given	132
Abd-al-Màlik	LATIN	given	101
Abd-al-Múnim	LATIN	given	54
Abd-al-Múttalib	LATIN	given	7
Abd-al-Qayyum	LATIN	given	13
Abd-al-Qàdir	LATIN	given	233
Abd-al-Wahhab	LATIN	given	86
Abd-al-Wàhid	LATIN	given	50
Abd-ar-Rahim	LATIN	given	120
Abd-ar-Rahman	LATIN	given	762
Abd-ar-Raixid	LATIN	given	25
Abd-ar-Razzaq	LATIN	given	102
Abd-as-Salam	LATIN	given	123
Abd-as-Sattar	LATIN	given	31
Abd-as-Sàmad	LATIN	given	22
Abd-ul-Aziz	LATIN	given	315
Abda	LATIN	given	5
Abdal	LATIN	family	8
Abdala	LATIN	family	25
Abdaladze	LATIN	family	6
Abdalaziz	LATIN	given	315
Abdalla	LATIN	family	37
Abdalla	LATIN	given	85
Abdallah	LATIN	family	72
Abdallah	LATIN	given	2059
Abdalláh	LATIN	given	2059
Abdel	LATIN	family	17
Abdel	LATIN	given	62
Abdel Aal	LATIN	given	6
Abdel Basset	LATIN	given	29
Abdel Fattah	LATIN	given	60
Abdel Nour	LATIN	family	6
Abdel Nour	LATIN	given	5
Abdel kader	LATIN	family	12
Abdel-Kader	LATIN	given	233
Abdel-Shafi	LATIN	family	5
Abdelaal	LATIN	family	7
Abdelali	LATIN	given	13
Abdelatif	LATIN	given	217
Abdelaziz	LATIN	family	31
Abdelaziz	LATIN	given	361
Abdelazizus	LATIN	given	361
Abdelfattah	LATIN	family	8
Abdelhadi	LATIN	given	14
Abdelhafid	LATIN	given	8
Abdelhak	LATIN	given	57
Abdelhamid	LATIN	family	19
Abdelhamid	LATIN	given	47
Abdelhaq	LATIN	given	57
Abdelilah	LATIN	given	23
Abdeljabbar	LATIN	given	38
Abdeljalil	LATIN	given	8
Abdeljelil	LATIN	given	10
Abdelkader	LATIN	family	12
Abdelkader	LATIN	given	233
Abdelkarim	LATIN	given	75
Abdelkrim	LATIN	given	75
Abdellah	LATIN	given	46
Abdellatif	LATIN	family	10
Abdellatif	LATIN	given	34
Abdelmadjid	LATIN	given	20
Abdelmalek	LATIN	given	39
Abdelnour	LATIN	family	8
Abdelrahman	LATIN	family	11
Abdelrahman	LATIN	given	5
Abdelsalam	LATIN	family	9
Abdelwahab	LATIN	family	12
Abdelwahab	LATIN	given	26
Abdelwahed	LATIN	family	6
Abdennour	LATIN	given	10
Abdenour	LATIN	given	22
Abderaouf	LATIN	given	9
Abderhalden	LATIN	family	9
Abderrahim	LATIN	given	38
Abderrahman	LATIN	given	9
Abderrahmane	LATIN	given	762
Abderraman	LATIN	given	762
Abderramán	LATIN	given	762
Abderramão	LATIN	given	762
Abderrazak	LATIN	given	102
Abdeslam	LATIN	given	10
Abdessamad	LATIN	given	7
Abdi	LATIN	family	64
Abdi	LATIN	given	72
Abdia	LATIN	given	53
Abdias	LATIN	given	53
Abdiel	LATIN	given	15
Abdillahi	LATIN	family	5
Abdirahman	LATIN	family	5
Abdirahman	LATIN	given	12
Abdiraxmanov	LATIN	family	38
Abdiu	LATIN	family	10
Abdo	LATIN	family	30
Abdolali	LATIN	given	25
Abdoli	LATIN	family	9
Abdollahi	LATIN	family	22
Abdolmohammad	LATIN	given	8
Abdolreza	LATIN	given	27
Abdon	LATIN	given	53
Abdou	LATIN	family	30
Abdou	LATIN	given	68
Abdoul	LATIN	given	105
Abdoul Wahid	LATIN	given	50
Abdoulaye	LATIN	family	6
Abdoulaye	LATIN	given	219
Abdoulie	LATIN	given	6
Abdourahmane	LATIN	given	20
Abdrachmanov	LATIN	family	38
Abdrachmanowa	LATIN	family	6
Abdrahmonov	LATIN	family	38
Abdraimov	LATIN	family	10
Abdrakhmanov	LATIN	family	38
Abdrakhmanova	LATIN	family	6
Abdraxmanov	LATIN	family	38
Abdu	LATIN	family	10
Abdu	LATIN	given	16
Abduh	LATIN	given	16
Abdul	LATIN	family	44
Abdul	LATIN	given	646
Abdul Amir	LATIN	given	7
Abdul Azim	LATIN	given	20
Abdul Baqi	LATIN	given	20
Abdul Bari	LATIN	given	19
Abdul Basit	LATIN	given	29
Abdul Ghaffar	LATIN	given	18
Abdul Ghafoor	LATIN	given	19
Abdul Ghani	LATIN	given	69
Abdul Hadi	LATIN	given	41
Abdul Hafeez	LATIN	given	8
Abdul Hafiz	LATIN	given	26
Abdul Hai	LATIN	given	22
Abdul Hakim	LATIN	given	28
Abdul Halim	LATIN	given	101
Abdul Hamid	LATIN	given	185
Abdul Haq	LATIN	given	57
Abdul Jabbar	LATIN	given	38
Abdul Jalil	LATIN	given	19
Abdul Karim	LATIN	given	200
Abdul Khaliq	LATIN	given	32
Abdul Latif	LATIN	given	217
Abdul Madjid	LATIN	given	132
Abdul Majid	LATIN	given	132
Abdul Malik	LATIN	given	101
Abdul Mannan	LATIN	given	8
Abdul Mateen	LATIN	given	7
