# PRONOM, The National Archives' registry of file formats, as the terms a program working
# with documents actually writes. A format's name is a phrase — Portable Document Format,
# Extensible Hypertext Markup Language, Scalable Vector Graphics — and the registry states
# each format's extensions and media types beside it, which are the short names a parser or
# a test fixture declares. Each concept is the format's PUID at the registry's own
# permalink, so a match cites The National Archives' record for it.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# prefLabel is the format's own name. altLabel pools the stated extensions and media
# types. note carries the stated version, because PRONOM publishes one record per version
# of a format. broader and definition are blank on every row: the signature file states no
# hierarchy and no prose, and the blank is the publisher's statement. NOT CARRIED, and
# said outright: the container signature file — it maps container signatures to PUIDs this
# file already names, and states no format row of its own.
#
# Name: PRONOM signature file V125
# Short name: PRONOM
# Publisher: The National Archives
# Published at: https://www.nationalarchives.gov.uk/pronom/
# Kind: terms
# Description: PRONOM: the names The National Archives states for file formats.
# Subject: file formats
# Source: PRONOM's DROID signature file V125, https://cdn.nationalarchives.gov.uk/documents/DROID_SignatureFile_V125.xml,
#   a numbered release the publisher does not state a content address for, so it is pinned
#   by this library's own digest over it — a weaker claim than a publisher's revision, and
#   stated as such:
#   d06f26aeb0f153013449bd2a2f912c8d480247c056fd9bfd3facdc39bff7a586.
# Licence: the site footer states Open Government Licence v3.0, which permits copying,
#   publishing and adapting the information with attribution. The attribution statement it
#   requires — contains public sector information licensed under the Open Government
#   Licence v3.0 — is carried here and in NOTICE.md.
# Generated by PronomFormatsExtraction: 2571 formats.
https://www.nationalarchives.gov.uk/PRONOM/fmt/1042	WordPerfect Graphics Metafile	wpg		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1043	Microsoft PRX File	prx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1044	AutoShade Rendering Slide	rnd		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1045	Q&A Word Processor Document			format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1046	Draco	drc		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1047	Geography Markup Language	gml | application/gml+xml		format			version 3.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1048	OGR GFS File	gfs		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1049	QuickDraw 3D Metafile (ASCII)	3dmf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/105	Macromedia Flash	swf | application/x-shockwave-flash		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1050	QuickDraw 3D Metafile (Binary)	3dmf		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1051	Windows Journal Format	jnt | jtp		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1052	BKNAS Seismic Data Format	bknas		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1053	Adobe Audio Waveform	pek		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1054	AVCHD Clip Information File	clpi | cpi		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1055	M2TS	m2ts | mts		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1056	SNAP Main Data File	mdf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1057	SNAP Archive Data File	adf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1058	SNAP Processed Data File	snpdf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1059	FileMaker Pro Database	fm		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/106	Macromedia Flash	swf | application/x-shockwave-flash		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1060	Phase One Raw Image	cap | capture		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1061	Phase One IIQ Raw Image	iiq		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1062	Hasselblad 3FR Raw Image	3fr		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1063	Leaf Mosaic Raw Image	mos		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1064	Portable Database	pdb		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1065	Portable Database	pdb		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1066	Portable Database	pdb		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1067	Silo	silo		format			version PDB Variant
https://www.nationalarchives.gov.uk/PRONOM/fmt/1068	Silo	silo		format			version HDF5 Variant
https://www.nationalarchives.gov.uk/PRONOM/fmt/1069	Cue Sheet	cue		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/107	Macromedia Flash	swf | application/x-shockwave-flash		format			version 4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1070	Preferred Executable Format			format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1071	Apple Disk Image	dmg | application/x-apple-diskimage		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1072	FileMaker Pro Database			format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1073	Google Document Link File	gdoc | gdraw | gform | gmap | gsheet | gsite | gslides		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1074	AVCHD Playlist File	mpl | mpls		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1075	AVCHD Movie Object File	bdm | bdmv		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1076	AVCHD Index File	bdm | bdmv		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1077	AVCHD Thumbnail Index File	tid		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1078	Microsoft Program Database	pdb		format			version 2.00
https://www.nationalarchives.gov.uk/PRONOM/fmt/1079	Microsoft Program Database	pdb		format			version 7.00
https://www.nationalarchives.gov.uk/PRONOM/fmt/108	Macromedia Flash	swf | application/x-shockwave-flash		format			version 5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1080	ASP Application Directive File	asax		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1081	ASP Control Directive File	ascx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1082	ASP WebService Directive File	asmx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1083	Hangul Word Processor Document	hwp		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1084	Hangul Word Processor Document	hwp		format			version 5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1085	TRIM Context Reference File	tr5 | txt		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1086	Monkey's Audio File	ape		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1087	FAT Disk Image	dsk | ima | img		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1088	Visual Basic (VB) File	vb		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1089	VBScript (VBS) File	vbs		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/109	Macromedia Flash	swf | application/x-shockwave-flash		format			version 6
https://www.nationalarchives.gov.uk/PRONOM/fmt/1090	Exclude File	exclude		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1091	Scribus Document	scd | sla | application/vnd.scribus		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1092	Alias Pix Image File	ico | pix		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1093	Alias Scene Description Language	sdl		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1094	The Neuroimaging Informatics Technology Initiative File Format	nii		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1095	PEA Archive Format	pea		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1096	FreeArc Archive Format	arc		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1097	ZPAQ Archive Format	zpaq		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1098	XZ File Format	xz		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1099	TCR eBook	tcr		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/11	Portable Network Graphics	png | image/png		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/110	Macromedia Flash	swf | application/x-shockwave-flash		format			version 7
https://www.nationalarchives.gov.uk/PRONOM/fmt/1100	yEnc Encoded File	yenc		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1101	High Efficiency Image File Format	heic | image/heif		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1102	Uuencoded File	uue		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1103	AutoCAD Hatch Pattern	pat		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1104	Seattle FilmWorks SFW Image Format	sfw		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1105	Hierarchical File System	img		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1106	Python Compiled File	pyc		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1107	Python Compiled File	pyc		format			version 2.1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1108	Python Compiled File	pyc		format			version 2.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1109	Python Compiled File	pyc		format			version 2.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/111	OLE2 Compound Document Format			format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1110	Python Compiled File	pyc		format			version 2.4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1111	Python Compiled File	pyc		format			version 2.5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1112	Python Compiled File	pyc		format			version 2.6
https://www.nationalarchives.gov.uk/PRONOM/fmt/1113	Python Compiled File	pyc		format			version 3.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1114	Python Compiled File	pyc		format			version 3.1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1115	Python Compiled File	pyc		format			version 3.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1116	Python Compiled File	pyc		format			version 3.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1117	Python Compiled File	pyc		format			version 3.5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1118	Python Compiled File	pyc		format			version 3.6
https://www.nationalarchives.gov.uk/PRONOM/fmt/1119	Jupyter Python Notebook	ipynb		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/112	Still Picture Interchange File Format	jpg | spf | image/jpeg		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1120	DIFFRACplus Raw Data File Format	raw		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1121	DIFFRACplus Raw Data File Format	raw		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1122	VAMAS Surface Chemical Analysis Standard Data Transfer Format	vms		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1123	Origin Project Format	ogg | ogm | ogw | opj		format			version Non-Unicode
https://www.nationalarchives.gov.uk/PRONOM/fmt/1124	Origin Project Format	oggu | ogmu | ogwu | opju		format			version Unicode
https://www.nationalarchives.gov.uk/PRONOM/fmt/1125	JASCO JWS Format	jws		format			version OLE2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1126	Sony SR2 RAW Image File	sr2		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1127	Sony ARW RAW Image File	arw		format			version 2.x
https://www.nationalarchives.gov.uk/PRONOM/fmt/1128	Progressive Graphics File	pgf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1129	PDF 2.0 - Portable Document Format	pdf | application/pdf		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/113	Still Picture Interchange File Format	image/jpeg		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1130	C3D File Format	c3d		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1131	Gatan Digital Micrograph File Format (DM3)	dm3		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1132	Netscape Bookmark File Format	htm | html		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1133	Farbfeld Image Format	ff		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1134	GPS Exchange Format	gpx		format			version 1.1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1135	SQLite Database File Format	db | sqlite		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1136	MiniCAD	mcd | application/vnd.vectorworks		format			version 6
https://www.nationalarchives.gov.uk/PRONOM/fmt/1137	MiniCAD	mcd | application/vnd.vectorworks		format			version 7
https://www.nationalarchives.gov.uk/PRONOM/fmt/1138	MiniCAD/VectorWorks	mcd | vwx | application/vnd.vectorworks		format			version 8
https://www.nationalarchives.gov.uk/PRONOM/fmt/1139	VectorWorks	vwx | application/vnd.vectorworks		format			version 9
https://www.nationalarchives.gov.uk/PRONOM/fmt/114	Windows Bitmap	bmp | ddb | image/bmp		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1140	VectorWorks	vwx | application/vnd.vectorworks		format			version 10
https://www.nationalarchives.gov.uk/PRONOM/fmt/1141	VectorWorks	vwx | application/vnd.vectorworks		format			version 11
https://www.nationalarchives.gov.uk/PRONOM/fmt/1142	VectorWorks Plugin or Script	vsm | vso | vst | application/vnd.vectorworks		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1143	ZISRAW (CZI) File Format	czi		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1144	CompuServe WinCIM Message Format	msg | plx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1145	Maxwell Render Material File	mxm		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1146	Maxwell Render Image Format	mxi		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1147	Maxwell Render Scene File Format	mxs		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1148	SIDOUN WinAVA Format	swa		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1149	Markdown	markdown | md | text/markdown		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/115	Windows Bitmap	bmp | dib | image/bmp		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1150	4X Movie File	4xa | 4xm		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1151	Lightwright Show File	lw | lw1		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1152	Lightwright Show File	lw2		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1153	Lightwright Show File	lw3		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1154	Lightwright Show File	lw4		format			version 4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1155	Lightwright Show File	lw5		format			version 5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1156	Lightwright Show File	lw6		format			version 6
https://www.nationalarchives.gov.uk/PRONOM/fmt/1157	Folio Infobase File	nfo		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1158	Folio Infobase File	nfo		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1159	Folio Infobase File	nfo		format			version 4
https://www.nationalarchives.gov.uk/PRONOM/fmt/116	Windows Bitmap	bmp | dib | image/bmp		format			version 3.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1160	Folio Shadow File	sdw		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1161	Folio Shadow File	sdw		format			version 4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1162	Folio Flat File	fff		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1163	Folio Definition File	def		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1164	Praat Picture File	prapic		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1165	Praat Script File	praat		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1166	Niton Data Transfer	ndt		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1167	Softimage 3D Picture File Format	pic		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1168	Maya Icons or Swatches file	icons | swatches		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1169	Maya IFF Image File	ico | iff		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/117	Windows Bitmap	bmp | dib | image/bmp		format			version 3.0 NT
https://www.nationalarchives.gov.uk/PRONOM/fmt/1170	Alias Studio Wire File			format			version 8.5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1171	Alias PowerAnimator File			format			version 9.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1172	Web Open Font Format	woff2 | font/woff2		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1173	FrameMD5	framemd5 | md5		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1174	Hewlett Packard Graphics Language	000 | application/vnd.hp-HPGL		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1175	Alias Studio Wire File			format			version 9.0
