# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
isomaltohexose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltooligosaccharide	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltopentose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltosaccharide	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltoside	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltotetraose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltotetrose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltotriose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomaltulose	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomangiferin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomass	natural-sciences,physical-sciences,physics
isomenthol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomenthone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomer	chemistry,natural-sciences,physical-sciences
isomer_bomb	engineering,government,military,natural-sciences,physical-sciences,politics,tools,war,weaponry
isomerate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomere	chemistry,natural-sciences,physical-sciences
isomeric	chemistry,natural-sciences,physical-sciences
isomeride	chemistry,natural-sciences,physical-sciences
isomerisation	chemistry,natural-sciences,physical-sciences
isomerism	chemistry,natural-sciences,physical-sciences
isomerizable	chemistry,natural-sciences,physical-sciences
isomerization	chemistry,natural-sciences,physical-sciences
isomerize	chemistry,natural-sciences,physical-sciences
isomerized	chemistry,natural-sciences,physical-sciences
isomerohydrolase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomeromorphism	chemistry,crystallography,natural-sciences,physical-sciences
isomeroreductase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isomerous	biology,botany,natural-sciences
isomertieite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
isomesityl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isometric	medicine,natural-sciences,physical-sciences,physics,physiology,sciences
isometric_contraction	anatomy,medicine,sciences
isometric_perspective	art,arts,cartography,geography,natural-sciences
isometric_projection	engineering,natural-sciences,physical-sciences,sciences
isometric_space	mathematics,sciences
isometropia	medicine,sciences
isometropic	medicine,sciences
isometry	mathematics,sciences
isomir	biology,genetics,medicine,natural-sciences,sciences
isomolar	chemistry,natural-sciences,physical-sciences
isomonodromic	mathematics,sciences
isomorphic	biology,computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
isomorphism	biology,category-theory,chemistry,computer,computing,engineering,human-sciences,mathematics,natural-sciences,physical-sciences,science,sciences,social-science,sociology
isomorphy	biology,natural-sciences
isomultiplet	natural-sciences,physical-sciences,physics
isomyopia	medicine,pathology,sciences
isomyosin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isomyristicin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonade	human-sciences,mysticism,mythology,philosophy,sciences
isonandra	biology,botany,natural-sciences
isoneotype	biology,natural-sciences,taxonomy
isoneral	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoniazid	medicine,pharmacology,sciences
isonicotinamide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonicotine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonicotinic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonicotinoyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonipecaine	medicine,pharmacology,sciences
isonitrile	chemistry,natural-sciences,physical-sciences
isonitroso_compound	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonitrosoacetanilide	chemistry,natural-sciences,physical-sciences
isonoe	astronomy,natural-sciences
isononane	chemistry,natural-sciences,physical-sciences
isononanoate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isononanoic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isononyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isonuclear	natural-sciences,physical-sciences,physics
isoobtusilactone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isooctane	chemistry,natural-sciences,organic-chemistry,physical-sciences
isooctanol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isooctyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isooctylmercaptoacetate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isooptoacoustic	chemistry,natural-sciences,physical-sciences
isoorientin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopach	geography,geology,natural-sciences
isopalmitate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopalmitic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopanose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoparaffin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoparametric	mathematics,sciences
isoparm	computer-graphics,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
isopatchoulenone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopathy	medicine,sciences
isopentadiene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentane	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentanoate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentanol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenyladenine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenyladenosine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenylation	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentenyltransferase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopentyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopentylamine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopepsin	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopeptidase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopeptide	chemistry,natural-sciences,physical-sciences
isoperibolic	natural-sciences,physical-sciences,physics
isoperimeter	geometry,mathematics,sciences
isoperimetric	geometry,mathematics,sciences
isoperimetry	mathematics,sciences
isoperiodic	chemistry,entertainment,lifestyle,mathematics,music,natural-sciences,physical-sciences,sciences
isoperistaltic	medicine,sciences,surgery
isopetalous	biology,botany,natural-sciences
isophane	climatology,medicine,meteorology,natural-sciences,sciences
isophase_light	nautical,transport
isophenogamy	human-sciences,sciences,social-science,sociology
isophlorin	chemistry,natural-sciences,physical-sciences
isophorone	chemistry,natural-sciences,physical-sciences
isophorous	biology,botany,natural-sciences
isophosphindole	chemistry,natural-sciences,organic-chemistry,physical-sciences
isophosphinoline	chemistry,natural-sciences,organic-chemistry,physical-sciences
isophote	computer-graphics,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
isophthalamide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isophthalate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isophthalic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isophyllous	biology,botany,natural-sciences
isophylly	biology,botany,natural-sciences
isophytol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopimarane	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopimaric_acid	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopinocampheylamine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoplanatic	engineering,natural-sciences,optics,physical-sciences,physics
isopleth	natural-sciences,physical-sciences,physics,thermodynamics
isopodan	biology,natural-sciences,zoology
isopoll	biology,chemistry,microbiology,natural-sciences,palynology,physical-sciences
isopoly_acid	chemistry,inorganic-chemistry,natural-sciences,physical-sciences
isopolyanion	chemistry,inorganic-chemistry,natural-sciences,physical-sciences
isoporphyrin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopract	geography,natural-sciences
isopreference	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
isopregnanolone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenaline	medicine,pharmacology,sciences
isoprene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenic	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenogenesis	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprenoid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenoidal	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenolog	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprenylate	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprenylated	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprenylation	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprenylcysteine	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprodian	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprofen	medicine,pharmacology,sciences
isopropanide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropanol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropanolamine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropenyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropoxide	chemistry,natural-sciences,physical-sciences
isopropoxy	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropyl	chemistry,natural-sciences,physical-sciences
isopropyl_alcohol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylacetone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylacrylamide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylamide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylamine	chemistry,natural-sciences,physical-sciences
isopropylarene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylbenzene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylbenzylidene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylcholestane	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylethylene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylidene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylidenedioxy	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylmalic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylphosphate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopropylthioxanthone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprostane	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoprostanoid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoprotein	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isoproterenol	medicine,pharmacology,sciences
isoprunetin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopteran	biology,natural-sciences,zoology
isoptic	geometry,mathematics,sciences
isopulegol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopullulanase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isopurpurin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isopycnal	climatology,geography,meteorology,natural-sciences,oceanography
isopycnic	natural-sciences,physical-sciences,physics
isopygous	anatomy,medicine,sciences
isopyre	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
isoquant	economics,sciences
isoquercetin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquercitrin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinolinamine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinoline	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinolinium	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinolinol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinolinyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinolone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoquinuclidine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isorabaichromone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoradial	graph-theory,mathematics,sciences
isorcin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isorefractive	natural-sciences,physical-sciences,physics
isorenieratane	chemistry,natural-sciences,organic-chemistry,physical-sciences
isorenieratene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isorhynchophylline	chemistry,natural-sciences,organic-chemistry,physical-sciences
isorhythm	entertainment,lifestyle,music
isorhythmic	entertainment,human-sciences,lifestyle,linguistics,music,phonology,prosody,sciences
isorophid	biology,natural-sciences,zoology
isorotation	natural-sciences,physical-sciences,physics
isorotational	natural-sciences,physical-sciences,physics
isorropic	mathematics,sciences
isorumelenic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosaccharinic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosafrole	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosakuranetin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosarcometric	biology,natural-sciences
isosbestic	chemistry,natural-sciences,physical-sciences,physics
isoscalar	natural-sciences,physical-sciences,physics
isoscaling	natural-sciences,physical-sciences,physics
isoscelar	mathematics,sciences
isosceles	geometry,mathematics,sciences
isosceles_triangle	geometry,mathematics,sciences
isoschaftoside	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoschizomer	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isosclerone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoscoparin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoscutellarein	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoseismal	geography,geology,natural-sciences
isoselective	chemistry,natural-sciences,physical-sciences
isoselenocyanate	chemistry,natural-sciences,physical-sciences
isosepiapterin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosequential	biology,genetics,medicine,natural-sciences,sciences
isoshowacene	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosilybin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosinglet	natural-sciences,physical-sciences,physics
isosorbide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosorbide_dinitrate	medicine,pharmacology,sciences
isospace	natural-sciences,physical-sciences,physics
isosparteine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isospecific	chemistry,natural-sciences,physical-sciences,physics
isospectral	mathematics,sciences
isospin	natural-sciences,physical-sciences,physics
isospondylous	biology,natural-sciences,zoology
isospore	biology,natural-sciences
isosporic	biology,botany,natural-sciences
isosporous	biology,natural-sciences
isostasy	geography,geology,natural-sciences
isostearate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isostearic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isostemonous	biology,botany,natural-sciences
isostemony	biology,botany,natural-sciences
isostere	chemistry,natural-sciences,physical-sciences
isosteric	chemistry,natural-sciences,physical-sciences,physics
isosterically	natural-sciences,physical-sciences,physics
isosteroid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosteroidal	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosteviol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isostheneia	human-sciences,philosophy,sciences
isostictid	biology,natural-sciences,zoology
isostilbic	chemistry,natural-sciences,physical-sciences
isostoichiometric	chemistry,natural-sciences,physical-sciences
isostoichiometrically	chemistry,natural-sciences,physical-sciences
isostrain	natural-sciences,physical-sciences,physics
isostress	natural-sciences,physical-sciences,physics
isostructure	natural-sciences,physical-sciences,physics
isostylous	biology,botany,natural-sciences
isosulphocyanate	chemistry,natural-sciences,physical-sciences
isosulphocyanic_acid	chemistry,natural-sciences,physical-sciences
isosurface	computer-graphics,computing,engineering,geometry,mathematics,natural-sciences,physical-sciences,sciences
isoswertiajaponin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoswertisin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isosyllabic	communications,human-sciences,journalism,linguistics,literature,media,poetry,publishing,sciences,writing
isosyllabicity	communications,human-sciences,journalism,linguistics,literature,media,poetry,publishing,sciences,writing
isosyllabism	communications,human-sciences,journalism,linguistics,literature,media,poetry,publishing,sciences,writing
isosynchronous	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
isotactic	chemistry,natural-sciences,physical-sciences
isotactoid	chemistry,natural-sciences,physical-sciences
isotanshinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isotemnid	biology,natural-sciences,zoology
isothankunisode	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothermal	geography,natural-sciences,physical-sciences,physics,thermodynamics
isothermic	climatology,meteorology,natural-sciences,physical-sciences,physics
isothermobath	geography,natural-sciences,oceanography
isotherombrose	geography,natural-sciences
isothiazole	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiazolidine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiazolidinium	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiazolinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiocyanate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiosemicarbazide	chemistry,natural-sciences,organic-chemistry,physical-sciences
isothiourea	chemistry,natural-sciences,organic-chemistry,physical-sciences
isotig	biology,genetics,medicine,natural-sciences,sciences
isotim	economics,sciences
isotomic	biology,botany,geometry,lichenology,mathematics,natural-sciences,sciences
isotomid	biology,natural-sciences,zoology
isotone	mathematics,sciences
isotonic	entertainment,lifestyle,medicine,music,physiology,sciences
isotonic_contraction	anatomy,medicine,sciences
isotope	mathematics,sciences,topology
isotope_dilution	chemistry,natural-sciences,physical-sciences
isotope_effect	chemistry,natural-sciences,physical-sciences,physics
isotope_exchange	chemistry,natural-sciences,physical-sciences
isotopic	chemistry,mathematics,natural-sciences,physical-sciences,physics,sciences
isotopic_chemistry	chemistry,natural-sciences,physical-sciences
isotopic_dilution	chemistry,natural-sciences,physical-sciences
isotopic_labelling	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isotopic_signature	chemistry,natural-sciences,physical-sciences,physics
isotopic_spin	natural-sciences,physical-sciences,physics
isotopism	mathematics,sciences
isotopocule	chemistry,natural-sciences,physical-sciences
isotopolog	chemistry,natural-sciences,physical-sciences
isotopologic	chemistry,natural-sciences,physical-sciences,physics
isotopologue	chemistry,natural-sciences,physical-sciences
isotopomerase	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isotopometric	chemistry,natural-sciences,physical-sciences
isotopometry	chemistry,natural-sciences,physical-sciences
isotopy	human-sciences,linguistics,mathematics,sciences
isotoxal	geometry,mathematics,sciences
isotoxin	biology,natural-sciences,zoology
isotransplantation	medicine,sciences,surgery
isotretinoin	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
isotrimorphism	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
isotriplet	natural-sciences,physical-sciences,physics
isotrivial	mathematics,sciences
isotrope	fluid-dynamics,natural-sciences,physical-sciences,physics
isotropic	mathematics,natural-sciences,physical-sciences,physics,sciences
isotropy	geometry,mathematics,natural-sciences,physical-sciences,physics,sciences
isotryptamine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isotype	biology,botany,immunology,medicine,natural-sciences,sciences,taxonomy
isotypic	geography,geology,immunology,medicine,natural-sciences,sciences
isouramil	chemistry,natural-sciences,physical-sciences
isourea	chemistry,natural-sciences,organic-chemistry,physical-sciences
isouric_acid	chemistry,natural-sciences,physical-sciences
isouvarinol	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovalent	chemistry,natural-sciences,physical-sciences
isovaleraldehyde	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovalerate	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovaleronitrile	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovaleryl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovalerylcarnitine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovaline	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
isovanillic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovanillin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovariant	biology,genetics,mathematics,medicine,natural-sciences,sciences
isovector	mathematics,sciences
isoventiloquinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoverbascoside	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoviscous	natural-sciences,physical-sciences,physics
isovist	architecture
isovite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
isovitexin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isovolumic_relaxation_time	cardiology,medicine,sciences
isovorticed	mathematics,natural-sciences,physical-sciences,physics,sciences
isoxanthopterin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazole	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazolidine	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazolidinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazolidinyl	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazoline	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxazolyl	chemistry,medicine,natural-sciences,physical-sciences,sciences
isoxepac	medicine,pharmacology,sciences
isoxerocomic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
isoxicam	medicine,pharmacology,sciences
isoxyid	biology,natural-sciences,zoology
isozeaxanthin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isozyme	biology,medicine,natural-sciences,sciences
isp	aerospace,astronautics,astronomy,business,computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
ispf	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
isr	computing,engineering,espionage,government,mathematics,military,natural-sciences,physical-sciences,politics,sciences,software,war
isr.	law
isradipine	medicine,pharmacology,sciences
israel	biblical,lifestyle,religion
israel-firster	government,politics
israel_daylight_time	time
israel_occupation_forces	government,military,politics,war
israelane	chemistry,natural-sciences,organic-chemistry,physical-sciences
israeli	human-sciences,linguistics,sciences
israelism	lifestyle,religion
isrp	government,politics
iss	aerospace,business,education,engineering,natural-sciences,physical-sciences,space-science
issa	nautical,transport
issachar	biblical,lifestyle,religion
issaron	units-of-measure
issid	biology,natural-sciences,zoology
issuable	law
issuably	law
issuant	government,heraldry,hobbies,lifestyle,monarchy,nobility,politics
issue	business,finance,government,law,media,medicine,military,politics,publishing,sciences,war
issue_date	business,law
issue_pea	medicine,sciences
issue_tracking_system	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
issuefic	lifestyle
ist	computing,engineering,law,mathematics,natural-sciences,physical-sciences,sciences
istar	government,military,politics,war
istea	law
isthmectomy	medicine,sciences,surgery
isthmic	anatomy,medicine,sciences
isthmocele	medicine,sciences,surgery
isthmoid	graph-theory,mathematics,sciences
isthmus	anatomy,biology,botany,geography,graph-theory,mathematics,medicine,natural-sciences,sciences
isthmus_of_fauces	anatomy,medicine,sciences
isthmus_of_perekop	geography,natural-sciences
istighfar	Islam,lifestyle,religion
istikhara	Islam,lifestyle,religion
istinja	Islam,lifestyle,religion
istiodactylid	biology,natural-sciences,zoology
istiophorid	biology,ichthyology,natural-sciences,zoology
istj	human-sciences,psychology,sciences
istp	human-sciences,psychology,sciences
istqb	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences,software
istrian_scale	entertainment,lifestyle,music
istvaeonic	human-sciences,linguistics,sciences
isu	government,hobbies,lifestyle,martial-arts,military,politics,sports,sumo,war,wrestling
isuan	geography,geology,natural-sciences
isunakinra	medicine,pharmacology,sciences
isuretin	chemistry,natural-sciences,organic-chemistry,physical-sciences
isuretine	chemistry,natural-sciences,physical-sciences
isv	biblical,business,computing,engineering,government,human-sciences,lexicography,lifestyle,linguistics,mathematics,military,natural-sciences,physical-sciences,politics,religion,sciences,software,war
iswas	government,military,naval,navy,politics,war
isx	business,finance
isyn	medicine,sciences
it	computing,engineering,geography,geology,informatics,mathematics,medicine,natural-sciences,pharmacology,physical-sciences,sciences
it's_not_a_bug,_it's_a_feature	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
it.	human-sciences,language,linguistics,sciences
it/ot	computing,engineering,informatics,mathematics,natural-sciences,physical-sciences,sciences
it_cell	government,politics
it_is_easier_for_a_camel_to_go_through_the_eye_of_a_needle_than_for_a_rich_man_to_enter_into_the_kingdom_of_god	Christianity,biblical,lifestyle,religion
it_law	law
it_takes_two_to_make_a_quarrel	ethics,human-sciences,philosophy,sciences
ita	education
ita-	chemistry,natural-sciences,organic-chemistry,physical-sciences
ita-bag	lifestyle
itabirite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
itaboraian	biology,geography,geology,history,human-sciences,natural-sciences,paleontology,sciences
itacitinib	medicine,pharmacology,sciences
itacolumite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
itaconate	chemistry,natural-sciences,physical-sciences
itaconic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
italexit	government,politics
italian	business,cooking,food,lifestyle,manufacturing,textiles
italian_a	human-sciences,linguistics,phonetics,phonology,sciences
italian_augmented_sixth_chord	entertainment,lifestyle,music
italian_bread	cooking,food,lifestyle
italian_cloth	business,manufacturing,textiles
italian_grip	fencing,government,hobbies,lifestyle,martial-arts,military,politics,sports,war
italian_mile	units-of-measure
italian_rice_ball	cooking,food,lifestyle
italian_sausage	food,lifestyle
italian_social_republic	fascism,government,human-sciences,ideology,philosophy,politics,sciences
italian_tomato	food,lifestyle
italian_wolf	biology,natural-sciences,zoology
italianization	human-sciences,linguistics,sciences
italic	media,publishing,typography
italicize	media,publishing,typography
italicized	media,publishing,typography
italics	media,publishing,typography
italo-romance	human-sciences,linguistics,sciences
italo_house	entertainment,lifestyle,music
italygate	government,politics
itamalic_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
itamiwake	government,hobbies,lifestyle,martial-arts,military,politics,sports,sumo,war,wrestling
itanic	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
itar	government,politics
itasetron	medicine,pharmacology,sciences
itasha	lifestyle
itatartaric_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
itb	anatomy,automotive,computing,engineering,mathematics,medicine,natural-sciences,nautical,physical-sciences,sciences,software,transport,vehicles
itbs	medicine,pathology,sciences
ite	medicine,sciences
item	video-games
item_journal	accounting,business,finance
item_set	computer,computing,engineering,mathematics,natural-sciences,physical-sciences,science,sciences,statistics
itemization	video-games
itemizer	business,finance
iter	anatomy,medicine,sciences
iter.	grammar,human-sciences,linguistics,sciences
iterable	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
iteral	anatomy,medicine,sciences
iterate	arts,computing,design,engineering,mathematics,natural-sciences,physical-sciences,sciences
iterated_function_system	mathematics,sciences
iterated_integral	mathematics,sciences
iteratee	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences
