# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
-nema	biology,natural-sciences
-neme	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-nephry	medicine,sciences
-ner-	medicine,pharmacology,sciences
-nercept	medicine,pharmacology,sciences
-netant	medicine,pharmacology,sciences
-nicline	medicine,pharmacology,sciences
-nidazole	medicine,pharmacology,sciences
-nidipine	medicine,pharmacology,sciences
-nomial	algebra,mathematics,sciences
-nomics	economics,sciences
-o-	medicine,pharmacology,sciences
-oate	chemistry,natural-sciences,organic-chemistry,physical-sciences
-odontia	dentistry,medicine,sciences
-odynia	medicine,sciences
-oecious	biology,natural-sciences
-oic	chemistry,natural-sciences,organic-chemistry,physical-sciences
-oid	category-theory,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
-ol	chemistry,natural-sciences,organic-chemistry,physical-sciences
-ola	economics,entertainment,entertainment-industry,lifestyle,sciences
-ole	chemistry,natural-sciences,organic-chemistry,physical-sciences
-oline	chemistry,natural-sciences,organic-chemistry,physical-sciences
-olol	medicine,pharmacology,sciences
-olone	medicine,pharmacology,sciences
-oma	medicine,pathology,sciences
-ome	biology,natural-sciences
-omics	biology,natural-sciences
-on	biology,chemistry,genetics,mathematics,medicine,natural-sciences,physical-sciences,physics,sciences
-onic	chemistry,natural-sciences,organic-chemistry,physical-sciences
-onidine	medicine,pharmacology,sciences
-onium	chemistry,natural-sciences,physical-sciences,physics
-opamine	medicine,pharmacology,sciences
-opia	medicine,ophthalmology,sciences
-opsia	medicine,ophthalmology,sciences
-opsy	medicine,sciences
-or	business,electrical,electrical-engineering,electricity,electromagnetism,energy,engineering,natural-sciences,physical-sciences,physics,science,sciences
-orph-	medicine,pharmacology,sciences
-orphan	medicine,pharmacology,sciences
-orphine	medicine,pharmacology,sciences
-orphone	medicine,pharmacology,sciences
-os-	medicine,pharmacology,sciences
-ose	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-osis	medicine,pathology,sciences
-osmia	medicine,sciences
-ote	biology,natural-sciences
-otic	medicine,pathology,sciences
-ous	chemistry,natural-sciences,physical-sciences
-oxacin	medicine,pharmacology,sciences
-oxanide	medicine,pharmacology,sciences
-oxepin	medicine,pharmacology,sciences
-oxetine	medicine,pharmacology,sciences
-oxifene	medicine,pharmacology,sciences
-oxy	chemistry,natural-sciences,organic-chemistry,physical-sciences
-oyl	chemistry,natural-sciences,physical-sciences
-pagus	medicine,sciences
-pamil	medicine,pharmacology,sciences
-parin	medicine,pharmacology,sciences
-parinux	medicine,pharmacology,sciences
-peridol	medicine,pharmacology,sciences
-peridone	medicine,pharmacology,sciences
-perone	medicine,pharmacology,sciences
-phalangia	medicine,sciences
-philia	medicine,pathology,sciences
-philite	chemistry,geography,geology,mineralogy,natural-sciences,physical-sciences
-phily	biology,botany,natural-sciences
-phonia	medicine,sciences
-phyllous	biology,botany,natural-sciences
-pidem	medicine,pharmacology,sciences
-pine	medicine,pharmacology,sciences
-piprazole	medicine,pharmacology,sciences
-pitant	medicine,pharmacology,sciences
-plasia	medicine,sciences
-plasm	biology,natural-sciences
-plasty	medicine,sciences,surgery
-platin	medicine,pharmacology,sciences
-plex	mathematics,sciences
-plinerved	biology,botany,natural-sciences
-ploid	biology,genetics,medicine,natural-sciences,sciences
-plon	medicine,pharmacology,sciences
-pnea	medicine,physiology,sciences
-podium	biology,natural-sciences
-pody	communications,journalism,literature,media,poetry,publishing,writing
-poly	economics,games,sciences
-poride	medicine,pharmacology,sciences
-pr-	medicine,pharmacology,sciences
-pramine	medicine,pharmacology,sciences
-prazole	medicine,pharmacology,sciences
-pred-	medicine,pharmacology,sciences
-prenaline	medicine,pharmacology,sciences
-preneur	business
-previr	medicine,pharmacology,sciences
-pride	medicine,pharmacology,sciences
-pril	medicine,pharmacology,sciences
-prilat	medicine,pharmacology,sciences
-prim	medicine,pharmacology,sciences
-pristin	medicine,pharmacology,sciences
-pro-	medicine,pharmacology,sciences
-profen	medicine,pharmacology,sciences
-prost	medicine,pharmacology,sciences
-prost-	medicine,pharmacology,sciences
-prostil	medicine,pharmacology,sciences
-ptile	biology,botany,natural-sciences,ornithology
-quel	human-sciences,linguistics,narratology,sciences
-quine	medicine,pharmacology,sciences
-quinil	medicine,pharmacology,sciences
-racil	medicine,pharmacology,sciences
-relin	medicine,pharmacology,sciences
-renone	medicine,pharmacology,sciences
-reotide	medicine,pharmacology,sciences
-retin	medicine,pharmacology,sciences
-retin-	medicine,pharmacology,sciences
-ribine	medicine,pharmacology,sciences
-rinone	medicine,pharmacology,sciences
-rise	astronomy,natural-sciences
-ritide	medicine,pharmacology,sciences
-rolimus	medicine,pharmacology,sciences
-rozole	medicine,pharmacology,sciences
-rrhagia	medicine,sciences
-rrhaphy	medicine,sciences,surgery
-rubicin	medicine,pharmacology,sciences
-sal	medicine,pharmacology,sciences
-sal-	medicine,pharmacology,sciences
-salan	medicine,pharmacology,sciences
-salazide	medicine,pharmacology,sciences
-salazine	medicine,pharmacology,sciences
-sama	anime,broadcasting,comics,film,lifestyle,literature,manga,media,publishing,television
-sartan	medicine,pharmacology,sciences
-semide	medicine,pharmacology,sciences
-serod	medicine,pharmacology,sciences
-serpine	medicine,pharmacology,sciences
-set	astronomy,natural-sciences
-setron	medicine,pharmacology,sciences
-sis	medicine,sciences
-slide	government,politics
-sona	lifestyle
-sphere	biology,cytology,mathematics,medicine,natural-sciences,sciences
-spirone	medicine,pharmacology,sciences
-stasis	medicine,physiology,sciences
-stat	medicine,pharmacology,sciences
-steine	medicine,pharmacology,sciences
-step	entertainment,lifestyle,music
-steric	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-steride	medicine,pharmacology,sciences
-sterone	biochemistry,biology,chemistry,medicine,microbiology,natural-sciences,pharmacology,physical-sciences,sciences
-stigmine	medicine,pharmacology,sciences
-tadine	medicine,pharmacology,sciences
-tant	medicine,pharmacology,sciences
-taur	lifestyle
-taxel	medicine,pharmacology,sciences
-tegravir	medicine,pharmacology,sciences
-tene	biology,natural-sciences
-tepine	medicine,pharmacology,sciences
-teplase	medicine,pharmacology,sciences
-terenol	medicine,pharmacology,sciences
-terol	medicine,pharmacology,sciences
-terone	medicine,pharmacology,sciences
-th	mathematics,sciences
-therm	biology,natural-sciences
-thiazide	medicine,pharmacology,sciences
-thion	chemistry,natural-sciences,organic-chemistry,physical-sciences
-thiouracil	medicine,pharmacology,sciences
-thrin	chemistry,natural-sciences,organic-chemistry,physical-sciences
-tiazem	medicine,pharmacology,sciences
-tide	medicine,pharmacology,sciences
-tidine	medicine,pharmacology,sciences
-tinib	medicine,pharmacology,sciences
-tirelin	medicine,pharmacology,sciences
-tizide	medicine,pharmacology,sciences
-tizolam	medicine,pharmacology,sciences
-toin	medicine,pharmacology,sciences
-tomous	chemistry,crystallography,geography,geology,mineralogy,natural-sciences,physical-sciences
-tomy	anatomy,medicine,sciences,surgery
-ton	bridge,games,mathematics,sciences
-tonia	medicine,sciences
-tox-	medicine,pharmacology,sciences
-toxa-	medicine,pharmacology,sciences
-trakinra	medicine,pharmacology,sciences
-traline	medicine,pharmacology,sciences
-trexate	medicine,pharmacology,sciences
-trigine	medicine,pharmacology,sciences
-trix	BDSM,lifestyle,sexuality
-trixes	BDSM,lifestyle,sexuality
-trop-	medicine,pharmacology,sciences
-trope	sciences
-trophism	biology,natural-sciences,sciences
-tropia	medicine,sciences
-tropic	sciences
-tropin	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences
-tropism	biology,natural-sciences,sciences
-tropy	sciences
-tu-	medicine,pharmacology,sciences
-tum-	medicine,pharmacology,sciences
-tuple	mathematics,sciences
-type	biology,natural-sciences
-u-	medicine,pharmacology,sciences
-ule	sciences
-um	chemistry,natural-sciences,physical-sciences
-umab	medicine,pharmacology,sciences
-uret	chemistry,natural-sciences,physical-sciences
-uria	medicine,pathology,sciences
-vac	business,computing,engineering,literature,marketing,mathematics,media,natural-sciences,physical-sciences,publishing,science-fiction,sciences
-vaptan	medicine,pharmacology,sciences
-vastatin	medicine,pharmacology,sciences
-verine	medicine,pharmacology,sciences
-verse	lifestyle
-version	anatomy,dentistry,human-sciences,medicine,ophthalmology,pathology,psychology,sciences
-vi-	medicine,pharmacology,sciences
-vir	medicine,pharmacology,sciences
-vir-	medicine,pharmacology,sciences
-virine	medicine,pharmacology,sciences
-viroc	medicine,pharmacology,sciences
-virsen	medicine,pharmacology,sciences
-vudine	medicine,pharmacology,sciences
-ware	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
-wich	cooking,food,lifestyle
-x	hobbies,lifestyle,sports
