# Wiktionary abbreviation senses, one row per cited reading: the token, the expansion its
# entry names, the kind of shortening the sense declares (abbreviation, initialism, acronym,
# clipping or symbol), the sense's topic labels (comma-separated, often empty), and — for a
# unit symbol — the quantity the standard says the unit measures, blank for every other
# kind. A token with several cited expansions keeps one row each — this file cites usage,
# the reader votes.
#
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org: the English extract (https://kaikki.org/dictionary/English/) and the
#   Translingual extract (https://kaikki.org/dictionary/Translingual/), which carries the
#   unit symbols; Tatu Ylonen: "Wiktextract: Wiktionary as Machine-Readable Structured
#   Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryAbbreviationExtraction: 45633 senses.
1ot	first overtime period	abbreviation	hobbies,lifestyle,sports	
1pl	first-party logistics	abbreviation		
1pp	1 police plaza	abbreviation		
1pp	first-person plural	abbreviation	grammar,human-sciences,linguistics,sciences	
1st	first	abbreviation		
1stly	firstly	abbreviation		
1tbs	one true brace style	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
2	2s	abbreviation		
2	to	abbreviation		
2	to	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences	
2	too	abbreviation		
2	two-spirit	abbreviation		
2	two-spirited	abbreviation		
2,4-dnph	2	abbreviation	chemistry,natural-sciences,organic-chemistry,physical-sciences	
2,4-dnph	4-dinitrophenylhydrazine	abbreviation	chemistry,natural-sciences,organic-chemistry,physical-sciences	
2-d	two-dimensional	abbreviation		
2-ic	second in command	abbreviation		
20/20	twenty-twenty	abbreviation		
20th	twentieth	abbreviation		
21st	twenty-first	abbreviation		
224	forever	abbreviation		
224	today	abbreviation		
224	tomorrow	abbreviation		
22nd	twenty-second	abbreviation		
23rd	twenty-third	abbreviation		
24-7	twenty-four seven	abbreviation		
24/7	twenty-four seven	abbreviation		
24th	twenty-fourth	abbreviation		
24º	vicesimo-quarto	abbreviation		
24º	vicesimo-quarto	abbreviation	media,printing,publishing	
25/8	twenty-five/eight	abbreviation		
25th	twenty-fifth	abbreviation		
26th	twenty-sixth	abbreviation		
27th	twenty-seventh	abbreviation		
28th	twenty-eighth	abbreviation		
29th	twenty-ninth	abbreviation		
2a	second amendment	abbreviation	government,politics	
2ap	2-acetylpyrroline	abbreviation		
2ce	twice	abbreviation		
2d	tuppence	abbreviation		
2d	two pence	abbreviation		
2d	two-dimensional	abbreviation		
2day	today	abbreviation		
2dly	secondly obsolete form of 2ndly	abbreviation		
2dm	two-dimensional material	abbreviation	engineering,natural-sciences,physical-sciences	
2e	twice-exceptional	abbreviation	education,human-sciences,psychology,sciences	
2fa	two-factor authentication	abbreviation		
2faced	two-faced	abbreviation		
2fold	twofold	abbreviation		
2gl	second-generation language	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
2ic	second-in-command	abbreviation		
2mad	two meals a day	abbreviation		
2mass	two-micron all-sky survey	abbreviation	astronomy,natural-sciences	
2mf	2-methyl-3-furanthiol	abbreviation		
2mf	2-methylfuran	abbreviation		
2moro	tomorrow	abbreviation		
2morrow	tomorrow	abbreviation		
2mrw	tomorrow	abbreviation		
2nd	second	abbreviation		
2ndly	secondly	abbreviation		
2nf	second normal form	abbreviation		
2ot	second overtime period	abbreviation	hobbies,lifestyle,sports	
2pl	two-phase locking	abbreviation	computing,databases,engineering,mathematics,natural-sciences,physical-sciences,sciences	
2pp	second-person plural	abbreviation	grammar,human-sciences,linguistics,sciences	
2ry	secondary	abbreviation		
2s	two spirit	abbreviation		
2s	two-spirited	abbreviation		
2slgbt	and transgender	abbreviation		
2slgbt	bisexual	abbreviation		
2slgbt	gay	abbreviation		
2slgbt	lesbian	abbreviation		
