# eXtended WordNet Domains, reduced to one domain per synset and keyed by sense key: for
# each WordNet 3.0 synset, the domain whose propagation vector weighs it highest, carried
# onto every sense key the synset holds. The maximum is the reduction the resource's own
# evaluation uses and the one-domain-per-synset shape its successors publish; a tie breaks
# on the domain's name, so two runs write identical bytes.
#
# Columns: senseKey, domain, weight.
#   senseKey  WordNet's own version-stable sense identifier, from WordNet 3.0's index.sense.
#             It is what lets these labels join the bundled WordNet 3.1 database: the 3.0
#             synset offsets the distribution is keyed by survive in almost no case, and the
#             sense keys survive in almost every one.
#   domain    the leading domain of the synset across all 170 propagation vectors.
#   weight    that domain's propagation weight for the synset. Each domain's vector sums to
#             one over the 117,536 synsets, so weights compare across domains.
#
# Source: https://adimen.ehu.eus/web/files/XWND/xwnd-30g.tgz, accepted only at
#   sha256 bf7e85e57db36771a926649d4cfddad579e87c3f925cc3ab68465a0304555aac;
#   joined through index.sense of https://repo1.maven.org/maven2/net/sf/extjwnl/extjwnl-data-wn30/1.2/extjwnl-data-wn30-1.2.jar,
#   accepted only at sha256 67ce20a24eeb03ccb604327761e4c7958fc761016f6833384493b7479fb3ad70.
#   Gonzalez-Agirre, A., Castillo, M. and Rigau, G.: A proposal for improving WordNet
#   Domains. LREC 2012. https://adimen.ehu.eus/web/XWND
# Licence: Creative Commons Attribution 3.0 Unported (CC BY 3.0). Attribution: eXtended
#   WordNet Domains, IXA group, University of the Basque Country (UPV/EHU). WordNet 3.0
#   index.sense under the WordNet licence, Princeton University.
#
# Generated by XwndDomainsExtraction: 206761 rows.
1870s%1:28:00::	time_period	2.687940e-04
1880s%1:28:00::	time_period	2.825610e-04
1890s%1:28:00::	time_period	2.905360e-04
18th%5:00:00:ordinal:00	number	9.755990e-04
19%1:23:00::	number	1.768080e-03
19%5:00:00:cardinal:00	number	1.344320e-03
190%5:00:00:cardinal:00	number	2.959770e-04
1900s%1:28:00::	time_period	2.833050e-04
190th%5:00:00:ordinal:00	number	5.648310e-04
1920s%1:28:00::	tennis	1.460410e-03
1930s%1:28:00::	tennis	7.038490e-04
1940s%1:28:00::	time_period	2.985800e-04
1950s%1:28:00::	time_period	3.036420e-04
1960s%1:28:00::	time_period	3.141530e-04
1970s%1:28:00::	astronautics	1.334090e-03
1980s%1:28:00::	time_period	3.010390e-04
1990s%1:28:00::	time_period	2.826880e-04
19th%5:00:00:ordinal:00	number	9.478020e-04
1_chronicles%1:10:00::	publishing	3.784170e-04
1_esdras%1:10:00::	publishing	4.365620e-04
1_kings%1:10:00::	publishing	3.145800e-04
1_maccabees%1:10:00::	publishing	3.204290e-04
1_samuel%1:10:00::	publishing	3.041060e-04
1st%5:00:00:ordinal:00	number	7.504400e-04
1st-class_mail%1:10:00::	post	3.655750e-03
1st_baron_beaverbrook%1:18:00::	publishing	3.113190e-04
1st_baron_verulam%1:18:00::	philosophy	5.301430e-04
1st_class%1:10:00::	post	3.655750e-03
1st_earl_attlee%1:18:00::	history	1.514750e-04
1st_earl_baldwin_of_bewdley%1:18:00::	history	1.683860e-04
1st_earl_of_balfour%1:18:00::	history	1.683860e-04
1st_lieutenant%1:18:00::	military	1.923130e-04
1st_viscount_montgomery_of_alamein%1:18:00::	history	1.897330e-04
2%1:23:00::	number	1.348200e-03
2%5:00:00:cardinal:00	number	8.434220e-04
2-dimensional%5:00:00:multidimensional:00	geometry	1.605840e-04
2-hitter%1:04:00::	baseball	4.350460e-04
2-hydroxybenzoic_acid%1:27:00::	pharmacy	1.422480e-04
2-methylpropenoic_acid%1:27:00::	chemistry	8.828640e-05
20%1:23:00::	number	1.961110e-03
20%5:00:00:cardinal:00	number	9.053160e-04
20/20%1:09:00::	physiology	2.420520e-04
200%5:00:00:cardinal:00	number	2.959770e-04
200th%5:00:00:ordinal:00	number	1.533720e-04
20th%5:00:00:ordinal:00	number	9.525320e-04
21%1:23:00::	number	1.196780e-03
21%5:00:00:cardinal:00	number	8.434220e-04
21st%5:00:00:ordinal:00	number	9.672780e-04
22%1:23:00::	number	1.196780e-03
22%5:00:00:cardinal:00	number	8.434220e-04
22-karat_gold%1:27:00::	numismatics	2.364830e-04
22nd%5:00:00:ordinal:00	number	9.440200e-04
23%1:23:00::	number	1.196780e-03
23%5:00:00:cardinal:00	number	8.434220e-04
23rd%5:00:00:ordinal:00	number	9.631790e-04
24%1:23:00::	number	1.217410e-03
24%5:00:00:cardinal:00	number	8.434220e-04
24-hour_interval%1:28:00::	telegraphy	5.054590e-03
24-karat_gold%1:27:00::	chemistry	6.497960e-05
24/7%1:28:00::	time_period	2.873450e-04
24th%5:00:00:ordinal:00	number	9.640720e-04
25%1:23:00::	number	1.196780e-03
25%5:00:00:cardinal:00	number	8.434220e-04
25th%5:00:00:ordinal:00	number	9.719720e-04
26%1:23:00::	number	1.196780e-03
26%5:00:00:cardinal:00	number	8.434220e-04
26th%5:00:00:ordinal:00	number	9.077980e-04
27%1:23:00::	number	1.196780e-03
27%5:00:00:cardinal:00	number	8.434220e-04
27th%5:00:00:ordinal:00	number	9.569720e-04
28%1:23:00::	number	1.196780e-03
28%5:00:00:cardinal:00	number	8.434220e-04
28th%5:00:00:ordinal:00	number	9.626550e-04
29%1:23:00::	number	1.196780e-03
29%5:00:00:cardinal:00	number	8.434220e-04
29th%5:00:00:ordinal:00	number	9.844350e-04
2_chronicles%1:10:00::	publishing	3.784170e-04
2_esdras%1:10:00::	publishing	3.177530e-04
2_kings%1:10:00::	publishing	3.145800e-04
2_maccabees%1:10:00::	publishing	3.204290e-04
2_samuel%1:10:00::	publishing	3.041060e-04
2d%5:00:00:ordinal:00	number	1.081750e-03
2nd%5:00:00:ordinal:00	number	1.081750e-03
2nd_lieutenant%1:18:00::	military	2.007710e-04
3%1:23:00::	number	1.000930e-03
3%5:00:00:cardinal:00	number	8.434220e-04
3-d%1:09:00::	computer_science	3.711480e-05
3-d%1:10:00::	telecommunication	5.257370e-04
3-dimensional%5:00:00:multidimensional:00	photography	5.674220e-04
3-hitter%1:04:00::	baseball	4.350460e-04
3-membered%5:00:00:membered:00	engineering	2.957420e-05
30%1:23:00::	number	1.312790e-03
30%5:00:00:cardinal:00	number	8.434220e-04
300%5:00:00:cardinal:00	number	2.959770e-04
300th%5:00:00:ordinal:00	number	1.533720e-04
30_minutes%1:28:00::	nautical	4.114190e-05
30th%5:00:00:ordinal:00	number	8.307950e-04
31%5:00:00:cardinal:00	number	2.959770e-04
31st%5:00:00:ordinal:00	number	2.742540e-04
32%5:00:00:cardinal:00	number	2.959770e-04
32nd%5:00:00:ordinal:00	number	1.424450e-04
33%5:00:00:cardinal:00	number	2.959770e-04
33rd%5:00:00:ordinal:00	number	1.509170e-04
34%5:00:00:cardinal:00	number	2.959770e-04
34th%5:00:00:ordinal:00	number	1.432720e-04
35%5:00:00:cardinal:00	number	2.959770e-04
35th%5:00:00:ordinal:00	number	1.453640e-04
36%5:00:00:cardinal:00	number	2.959770e-04
365_days%1:28:00::	time_period	2.637270e-04
366_days%1:28:00::	time_period	4.382540e-04
36th%5:00:00:ordinal:00	number	1.462920e-04
37%5:00:00:cardinal:00	number	2.959770e-04
37th%5:00:00:ordinal:00	number	1.515950e-04
38%5:00:00:cardinal:00	number	2.959770e-04
38th%5:00:00:ordinal:00	number	1.452060e-04
39%5:00:00:cardinal:00	number	2.959770e-04
39th%5:00:00:ordinal:00	number	1.517970e-04
3d%1:09:00::	computer_science	3.711480e-05
3d%1:10:00::	telecommunication	5.257370e-04
3d_radar%1:06:00::	metrology	1.215570e-04
3rd%5:00:00:ordinal:00	number	7.988370e-04
3rd_october_organization%1:14:00::	politics	1.569870e-04
3tc%1:06:00::	pharmacy	3.503920e-04
4%1:23:00::	number	1.000930e-03
4%5:00:00:cardinal:00	number	8.434220e-04
4-dimensional%5:00:00:multidimensional:00	geometry	3.529890e-04
4-hitter%1:04:00::	baseball	4.350460e-04
4-membered%5:00:00:membered:00	engineering	2.957420e-05
40%1:23:00::	number	1.312790e-03
40%5:00:00:cardinal:00	number	8.434220e-04
400%5:00:00:cardinal:00	number	2.959770e-04
400th%5:00:00:ordinal:00	number	1.573630e-04
401-k%1:09:00::	tax	6.319880e-04
401-k_plan%1:09:00::	tax	6.319880e-04
40th%5:00:00:ordinal:00	number	7.392790e-04
41%5:00:00:cardinal:00	number	2.959770e-04
41st%5:00:00:ordinal:00	number	1.509630e-04
42%5:00:00:cardinal:00	number	2.959770e-04
42nd%5:00:00:ordinal:00	number	1.479030e-04
43%5:00:00:cardinal:00	number	2.959770e-04
43rd%5:00:00:ordinal:00	number	1.470230e-04
44%5:00:00:cardinal:00	number	2.959770e-04
440_yards%1:23:00::	metrology	1.478290e-04
44th%5:00:00:ordinal:00	number	1.384090e-04
45%5:00:00:cardinal:00	number	2.959770e-04
45th%5:00:00:ordinal:00	number	1.384090e-04
46%5:00:00:cardinal:00	number	2.959770e-04
46th%5:00:00:ordinal:00	number	1.384090e-04
47%5:00:00:cardinal:00	number	2.959770e-04
47th%5:00:00:ordinal:00	number	1.384090e-04
48%5:00:00:cardinal:00	number	2.959770e-04
48th%5:00:00:ordinal:00	number	1.384090e-04
49%5:00:00:cardinal:00	number	2.959770e-04
